country_code,year,gdp_per_capita,inflation,unemployment,gdp_lag_1,inflation_lag_1,unemployment_lag_1,gdp_lag_2,inflation_lag_2,unemployment_lag_2,gdp_lag_3,inflation_lag_3,unemployment_lag_3,gdp_rolling3,inflation_rolling3,unemployment_rolling3,gdp_growth,recession
ARG,2010,10260.1313108254,34.2772237131003,7.714,,,,,,,,,,10260.1313108254,34.2772237131003,7.714,,0
ARG,2011,12704.2831819684,34.2772237131003,7.18,10260.1313108254,34.2772237131003,7.714,,,,,,,11482.2072463969,34.2772237131003,7.447,23.821838113944892,0
ARG,2012,12949.717486654,34.2772237131003,7.217,12704.2831819684,34.2772237131003,7.18,10260.1313108254,34.2772237131003,7.714,,,,11971.377326482601,34.2772237131003,7.370333333333334,1.931902029970134,0
ARG,2013,12963.675773326,34.2772237131003,7.1,12949.717486654,34.2772237131003,7.217,12704.2831819684,34.2772237131003,7.18,10260.1313108254,34.2772237131003,7.714,12872.558813982801,34.2772237131003,7.165666666666667,0.10778834894571432,0
ARG,2014,12233.1444119186,34.2772237131003,7.268,12963.675773326,34.2772237131003,7.1,12949.717486654,34.2772237131003,7.217,12704.2831819684,34.2772237131003,7.18,12715.512557299533,34.2772237131003,7.195,-5.635217774502954,1
ARG,2015,13679.6264980954,34.2772237131003,7.577,12233.1444119186,34.2772237131003,7.268,12963.675773326,34.2772237131003,7.1,12949.717486654,34.2772237131003,7.217,12958.815561113333,34.2772237131003,7.315,11.82428685111827,0
ARG,2016,12699.9623137756,34.2772237131003,8.088,13679.6264980954,34.2772237131003,7.577,12233.1444119186,34.2772237131003,7.268,12963.675773326,34.2772237131003,7.1,12870.911074596532,34.2772237131003,7.644333333333333,-7.161483425415138,1
ARG,2017,14532.5009308511,34.2772237131003,8.347,12699.9623137756,34.2772237131003,8.088,13679.6264980954,34.2772237131003,7.577,12233.1444119186,34.2772237131003,7.268,13637.363247574032,34.2772237131003,8.004,14.429480748047197,0
ARG,2018,11752.7998922979,34.2772237131003,9.22,14532.5009308511,34.2772237131003,8.347,12699.9623137756,34.2772237131003,8.088,13679.6264980954,34.2772237131003,7.577,12995.087712308201,34.2772237131003,8.551666666666668,-19.12747882680098,1
ARG,2019,9955.97478680428,53.5483043492339,9.843,11752.7998922979,34.2772237131003,9.22,14532.5009308511,34.2772237131003,8.347,12699.9623137756,34.2772237131003,8.088,12080.425203317762,40.700917258478164,9.136666666666667,-15.288485483966719,1
ARG,2020,8535.59938004389,42.0150947376509,11.461,9955.97478680428,53.5483043492339,9.843,11752.7998922979,34.2772237131003,9.22,14532.5009308511,34.2772237131003,8.347,10081.458019715357,43.28020759999504,10.174666666666667,-14.266562914994175,1
ARG,2021,10738.0179223384,48.4093786255199,8.736,8535.59938004389,42.0150947376509,11.461,9955.97478680428,53.5483043492339,9.843,11752.7998922979,34.2772237131003,9.22,9743.197363062189,47.990925904134905,10.013333333333334,25.802740314215455,0
ARG,2022,13962.1894087223,72.430757531824,6.805,10738.0179223384,48.4093786255199,8.736,8535.59938004389,42.0150947376509,11.461,9955.97478680428,53.5483043492339,9.843,11078.602237034864,54.28507696499827,9.000666666666667,30.0257599652225,1
